day,pressure,max_temp,min_temp,dew_point,humidity,cloud,rainfall,sunshine,wind_direction,wind_speed
1,1012,32,24,22,78,6,yes,5,180,12
2,1010,34,25,23,80,7,yes,4,200,10
3,1015,30,22,20,70,5,no,7,150,8
4,1008,35,26,24,85,8,yes,3,220,14
5,1013,31,23,21,75,6,no,6,160,9
6,1009,33,25,23,82,7,yes,4,210,11
7,1016,29,21,19,68,4,no,8,140,7
8,1007,36,27,25,88,9,yes,2,230,15
9,1014,30,22,20,72,5,no,7,170,8
10,1011,32,24,22,77,6,yes,5,190,10
11,1013,31,23,21,74,5,no,6,160,9
12,1006,37,28,26,90,9,yes,2,240,16
13,1015,29,21,19,65,4,no,8,130,7
14,1008,35,26,24,86,8,yes,3,225,13
15,1012,33,25,23,79,6,yes,5,200,11
16,1016,28,20,18,60,3,no,9,120,6
17,1009,34,26,24,83,7,yes,4,210,12
18,1014,30,22,20,70,5,no,7,150,8
19,1007,36,27,25,87,9,yes,2,235,14
20,1013,31,23,21,76,6,no,6,170,9